cell,r_center_cm,phi_0
0,5.00000000e-03,1.41304333e+00
1,1.50000000e-02,1.41423162e+00
2,2.50000000e-02,1.41571387e+00
3,3.50000000e-02,1.41737003e+00
4,4.50000000e-02,1.41912227e+00
5,5.50000000e-02,1.42096096e+00
6,6.50000000e-02,1.42288072e+00
7,7.50000000e-02,1.42488026e+00
8,8.50000000e-02,1.42695972e+00
9,9.50000000e-02,1.42911992e+00
10,1.05000000e-01,1.43136208e+00
11,1.15000000e-01,1.43368764e+00
12,1.25000000e-01,1.43609820e+00
13,1.35000000e-01,1.43859552e+00
14,1.45000000e-01,1.44118140e+00
15,1.55000000e-01,1.44385775e+00
16,1.65000000e-01,1.44662657e+00
17,1.75000000e-01,1.44948989e+00
18,1.85000000e-01,1.45244983e+00
19,1.95000000e-01,1.45550856e+00
20,2.05000000e-01,1.45866832e+00
21,2.15000000e-01,1.46193140e+00
22,2.25000000e-01,1.46530016e+00
23,2.35000000e-01,1.46877702e+00
24,2.45000000e-01,1.47236446e+00
25,2.55000000e-01,1.47606503e+00
26,2.65000000e-01,1.47988135e+00
27,2.75000000e-01,1.48381608e+00
28,2.85000000e-01,1.48787200e+00
29,2.95000000e-01,1.49205191e+00
30,3.05000000e-01,1.49635872e+00
31,3.15000000e-01,1.50079540e+00
32,3.25000000e-01,1.50536503e+00
33,3.35000000e-01,1.51007074e+00
34,3.45000000e-01,1.51491577e+00
35,3.55000000e-01,1.51990345e+00
36,3.65000000e-01,1.52503723e+00
37,3.75000000e-01,1.53032064e+00
38,3.85000000e-01,1.53575733e+00
39,3.95000000e-01,1.54135110e+00
40,4.05000000e-01,1.54710584e+00
41,4.15000000e-01,1.55302560e+00
42,4.25000000e-01,1.55911460e+00
43,4.35000000e-01,1.56537719e+00
44,4.45000000e-01,1.57181791e+00
45,4.55000000e-01,1.57844151e+00
46,4.65000000e-01,1.58525291e+00
47,4.75000000e-01,1.59225729e+00
48,4.85000000e-01,1.59946006e+00
49,4.95000000e-01,1.60686691e+00
50,5.05000000e-01,1.61448382e+00
51,5.15000000e-01,1.62231710e+00
52,5.25000000e-01,1.63037340e+00
53,5.35000000e-01,1.63865977e+00
54,5.45000000e-01,1.64718370e+00
55,5.55000000e-01,1.65595311e+00
56,5.65000000e-01,1.66497649e+00
57,5.75000000e-01,1.67426285e+00
58,5.85000000e-01,1.68382186e+00
59,5.95000000e-01,1.69366384e+00
60,6.05000000e-01,1.70379992e+00
61,6.15000000e-01,1.71424200e+00
62,6.25000000e-01,1.72500295e+00
63,6.35000000e-01,1.73609661e+00
64,6.45000000e-01,1.74753795e+00
65,6.55000000e-01,1.75934315e+00
66,6.65000000e-01,1.77152975e+00
67,6.75000000e-01,1.78411673e+00
68,6.85000000e-01,1.79712473e+00
69,6.95000000e-01,1.81057614e+00
70,7.05000000e-01,1.82449532e+00
71,7.15000000e-01,1.83890877e+00
72,7.25000000e-01,1.85384535e+00
73,7.35000000e-01,1.86933652e+00
74,7.45000000e-01,1.88541653e+00
75,7.55000000e-01,1.90212279e+00
76,7.65000000e-01,1.91949606e+00
77,7.75000000e-01,1.93758085e+00
78,7.85000000e-01,1.95642574e+00
79,7.95000000e-01,1.97608377e+00
80,8.05000000e-01,1.99661284e+00
81,8.15000000e-01,2.01807620e+00
82,8.25000000e-01,2.04054288e+00
83,8.35000000e-01,2.06408829e+00
84,8.45000000e-01,2.08879476e+00
85,8.55000000e-01,2.11475216e+00
86,8.65000000e-01,2.14205861e+00
87,8.75000000e-01,2.17082122e+00
88,8.85000000e-01,2.20115685e+00
89,8.95000000e-01,2.23319301e+00
90,9.05000000e-01,2.26706882e+00
91,9.15000000e-01,2.30293595e+00
92,9.25000000e-01,2.34095978e+00
93,9.35000000e-01,2.38132060e+00
94,9.45000000e-01,2.42421481e+00
95,9.55000000e-01,2.46985639e+00
96,9.65000000e-01,2.51847836e+00
97,9.75000000e-01,2.57033440e+00
98,9.85000000e-01,2.62570057e+00
99,9.95000000e-01,2.68487724e+00
