cell,r_center_cm,direction,mu_m,psi_ang_in
0,2.50000000e-03,0,-8.61136312e-01,7.07507617e-01
1,7.50000000e-03,0,-8.61136312e-01,7.11054021e-01
2,1.25000000e-02,0,-8.61136312e-01,7.14618202e-01
3,1.75000000e-02,0,-8.61136312e-01,7.18200248e-01
4,2.25000000e-02,0,-8.61136312e-01,7.21800249e-01
5,2.75000000e-02,0,-8.61136312e-01,7.25418296e-01
6,3.25000000e-02,0,-8.61136312e-01,7.29054478e-01
7,3.75000000e-02,0,-8.61136312e-01,7.32708886e-01
8,4.25000000e-02,0,-8.61136312e-01,7.36381612e-01
9,4.75000000e-02,0,-8.61136312e-01,7.40072748e-01
10,5.25000000e-02,0,-8.61136312e-01,7.43782386e-01
11,5.75000000e-02,0,-8.61136312e-01,7.47510619e-01
12,6.25000000e-02,0,-8.61136312e-01,7.51257539e-01
13,6.75000000e-02,0,-8.61136312e-01,7.55023241e-01
14,7.25000000e-02,0,-8.61136312e-01,7.58807819e-01
15,7.75000000e-02,0,-8.61136312e-01,7.62611367e-01
16,8.25000000e-02,0,-8.61136312e-01,7.66433980e-01
17,8.75000000e-02,0,-8.61136312e-01,7.70275754e-01
18,9.25000000e-02,0,-8.61136312e-01,7.74136786e-01
19,9.75000000e-02,0,-8.61136312e-01,7.78017170e-01
20,1.02500000e-01,0,-8.61136312e-01,7.81917006e-01
21,1.07500000e-01,0,-8.61136312e-01,7.85836389e-01
22,1.12500000e-01,0,-8.61136312e-01,7.89775419e-01
23,1.17500000e-01,0,-8.61136312e-01,7.93734193e-01
24,1.22500000e-01,0,-8.61136312e-01,7.97712810e-01
25,1.27500000e-01,0,-8.61136312e-01,8.01711371e-01
26,1.32500000e-01,0,-8.61136312e-01,8.05729974e-01
27,1.37500000e-01,0,-8.61136312e-01,8.09768721e-01
28,1.42500000e-01,0,-8.61136312e-01,8.13827712e-01
29,1.47500000e-01,0,-8.61136312e-01,8.17907049e-01
30,1.52500000e-01,0,-8.61136312e-01,8.22006834e-01
31,1.57500000e-01,0,-8.61136312e-01,8.26127169e-01
32,1.62500000e-01,0,-8.61136312e-01,8.30268157e-01
33,1.67500000e-01,0,-8.61136312e-01,8.34429902e-01
34,1.72500000e-01,0,-8.61136312e-01,8.38612508e-01
35,1.77500000e-01,0,-8.61136312e-01,8.42816080e-01
36,1.82500000e-01,0,-8.61136312e-01,8.47040722e-01
37,1.87500000e-01,0,-8.61136312e-01,8.51286540e-01
38,1.92500000e-01,0,-8.61136312e-01,8.55553640e-01
39,1.97500000e-01,0,-8.61136312e-01,8.59842130e-01
40,2.02500000e-01,0,-8.61136312e-01,8.64152115e-01
41,2.07500000e-01,0,-8.61136312e-01,8.68483705e-01
42,2.12500000e-01,0,-8.61136312e-01,8.72837007e-01
43,2.17500000e-01,0,-8.61136312e-01,8.77212130e-01
44,2.22500000e-01,0,-8.61136312e-01,8.81609183e-01
45,2.27500000e-01,0,-8.61136312e-01,8.86028276e-01
46,2.32500000e-01,0,-8.61136312e-01,8.90469521e-01
47,2.37500000e-01,0,-8.61136312e-01,8.94933027e-01
48,2.42500000e-01,0,-8.61136312e-01,8.99418907e-01
