cell,r_center_cm,direction,mu_m,psi_ang_in
0,5.00000000e-03,0,-9.60289856e-01,4.99982311e-01
1,1.50000000e-02,0,-9.60289856e-01,4.99982429e-01
2,2.50000000e-02,0,-9.60289856e-01,4.99982550e-01
3,3.50000000e-02,0,-9.60289856e-01,4.99982675e-01
4,4.50000000e-02,0,-9.60289856e-01,4.99982802e-01
5,5.50000000e-02,0,-9.60289856e-01,4.99982933e-01
6,6.50000000e-02,0,-9.60289856e-01,4.99983066e-01
7,7.50000000e-02,0,-9.60289856e-01,4.99983203e-01
8,8.50000000e-02,0,-9.60289856e-01,4.99983342e-01
9,9.50000000e-02,0,-9.60289856e-01,4.99983485e-01
10,1.05000000e-01,0,-9.60289856e-01,4.99983631e-01
11,1.15000000e-01,0,-9.60289856e-01,4.99983779e-01
12,1.25000000e-01,0,-9.60289856e-01,4.99983930e-01
13,1.35000000e-01,0,-9.60289856e-01,4.99984084e-01
14,1.45000000e-01,0,-9.60289856e-01,4.99984241e-01
15,1.55000000e-01,0,-9.60289856e-01,4.99984401e-01
16,1.65000000e-01,0,-9.60289856e-01,4.99984563e-01
17,1.75000000e-01,0,-9.60289856e-01,4.99984728e-01
18,1.85000000e-01,0,-9.60289856e-01,4.99984895e-01
19,1.95000000e-01,0,-9.60289856e-01,4.99985065e-01
20,2.05000000e-01,0,-9.60289856e-01,4.99985237e-01
21,2.15000000e-01,0,-9.60289856e-01,4.99985412e-01
22,2.25000000e-01,0,-9.60289856e-01,4.99985589e-01
23,2.35000000e-01,0,-9.60289856e-01,4.99985768e-01
24,2.45000000e-01,0,-9.60289856e-01,4.99985949e-01
25,2.55000000e-01,0,-9.60289856e-01,4.99986133e-01
26,2.65000000e-01,0,-9.60289856e-01,4.99986318e-01
27,2.75000000e-01,0,-9.60289856e-01,4.99986505e-01
28,2.85000000e-01,0,-9.60289856e-01,4.99986695e-01
29,2.95000000e-01,0,-9.60289856e-01,4.99986886e-01
30,3.05000000e-01,0,-9.60289856e-01,4.99987079e-01
31,3.15000000e-01,0,-9.60289856e-01,4.99987273e-01
32,3.25000000e-01,0,-9.60289856e-01,4.99987469e-01
33,3.35000000e-01,0,-9.60289856e-01,4.99987667e-01
34,3.45000000e-01,0,-9.60289856e-01,4.99987866e-01
35,3.55000000e-01,0,-9.60289856e-01,4.99988066e-01
36,3.65000000e-01,0,-9.60289856e-01,4.99988268e-01
37,3.75000000e-01,0,-9.60289856e-01,4.99988471e-01
38,3.85000000e-01,0,-9.60289856e-01,4.99988675e-01
39,3.95000000e-01,0,-9.60289856e-01,4.99988880e-01
40,4.05000000e-01,0,-9.60289856e-01,4.99989086e-01
41,4.15000000e-01,0,-9.60289856e-01,4.99989293e-01
42,4.25000000e-01,0,-9.60289856e-01,4.99989501e-01
43,4.35000000e-01,0,-9.60289856e-01,4.99989710e-01
44,4.45000000e-01,0,-9.60289856e-01,4.99989919e-01
45,4.55000000e-01,0,-9.60289856e-01,4.99990129e-01
46,4.65000000e-01,0,-9.60289856e-01,4.99990339e-01
47,4.75000000e-01,0,-9.60289856e-01,4.99990550e-01
48,4.85000000e-01,0,-9.60289856e-01,4.99990761e-01
49,4.95000000e-01,0,-9.60289856e-01,4.99990972e-01
50,5.05000000e-01,0,-9.60289856e-01,4.99991183e-01
51,5.15000000e-01,0,-9.60289856e-01,4.99991395e-01
52,5.25000000e-01,0,-9.60289856e-01,4.99991606e-01
53,5.35000000e-01,0,-9.60289856e-01,4.99991818e-01
54,5.45000000e-01,0,-9.60289856e-01,4.99992029e-01
55,5.55000000e-01,0,-9.60289856e-01,4.99992240e-01
56,5.65000000e-01,0,-9.60289856e-01,4.99992450e-01
57,5.75000000e-01,0,-9.60289856e-01,4.99992661e-01
58,5.85000000e-01,0,-9.60289856e-01,4.99992870e-01
59,5.95000000e-01,0,-9.60289856e-01,4.99993079e-01
60,6.05000000e-01,0,-9.60289856e-01,4.99993288e-01
61,6.15000000e-01,0,-9.60289856e-01,4.99993495e-01
62,6.25000000e-01,0,-9.60289856e-01,4.99993702e-01
63,6.35000000e-01,0,-9.60289856e-01,4.99993908e-01
64,6.45000000e-01,0,-9.60289856e-01,4.99994113e-01
65,6.55000000e-01,0,-9.60289856e-01,4.99994317e-01
66,6.65000000e-01,0,-9.60289856e-01,4.99994519e-01
67,6.75000000e-01,0,-9.60289856e-01,4.99994720e-01
68,6.85000000e-01,0,-9.60289856e-01,4.99994920e-01
69,6.95000000e-01,0,-9.60289856e-01,4.99995119e-01
70,7.05000000e-01,0,-9.60289856e-01,4.99995316e-01
71,7.15000000e-01,0,-9.60289856e-01,4.99995511e-01
72,7.25000000e-01,0,-9.60289856e-01,4.99995705e-01
73,7.35000000e-01,0,-9.60289856e-01,4.99995897e-01
74,7.45000000e-01,0,-9.60289856e-01,4.99996087e-01
75,7.55000000e-01,0,-9.60289856e-01,4.99996275e-01
76,7.65000000e-01,0,-9.60289856e-01,4.99996462e-01
77,7.75000000e-01,0,-9.60289856e-01,4.99996646e-01
78,7.85000000e-01,0,-9.60289856e-01,4.99996827e-01
79,7.95000000e-01,0,-9.60289856e-01,4.99997007e-01
80,8.05000000e-01,0,-9.60289856e-01,4.99997184e-01
81,8.15000000e-01,0,-9.60289856e-01,4.99997359e-01
82,8.25000000e-01,0,-9.60289856e-01,4.99997531e-01
83,8.35000000e-01,0,-9.60289856e-01,4.99997701e-01
84,8.45000000e-01,0,-9.60289856e-01,4.99997867e-01
85,8.55000000e-01,0,-9.60289856e-01,4.99998031e-01
86,8.65000000e-01,0,-9.60289856e-01,4.99998192e-01
87,8.75000000e-01,0,-9.60289856e-01,4.99998350e-01
88,8.85000000e-01,0,-9.60289856e-01,4.99998505e-01
89,8.95000000e-01,0,-9.60289856e-01,4.99998656e-01
90,9.05000000e-01,0,-9.60289856e-01,4.99998804e-01
91,9.15000000e-01,0,-9.60289856e-01,4.99998949e-01
92,9.25000000e-01,0,-9.60289856e-01,4.99999090e-01
93,9.35000000e-01,0,-9.60289856e-01,4.99999226e-01
94,9.45000000e-01,0,-9.60289856e-01,4.99999359e-01
95,9.55000000e-01,0,-9.60289856e-01,4.99999487e-01
96,9.65000000e-01,0,-9.60289856e-01,4.99999611e-01
97,9.75000000e-01,0,-9.60289856e-01,4.99999730e-01
98,9.85000000e-01,0,-9.60289856e-01,4.99999842e-01
99,9.95000000e-01,0,-9.60289856e-01,4.99999949e-01
0,5.00000000e-03,1,-7.96666477e-01,4.99982330e-01
1,1.50000000e-02,1,-7.96666477e-01,4.99982428e-01
2,2.50000000e-02,1,-7.96666477e-01,4.99982540e-01
3,3.50000000e-02,1,-7.96666477e-01,4.99982657e-01
4,4.50000000e-02,1,-7.96666477e-01,4.99982777e-01
5,5.50000000e-02,1,-7.96666477e-01,4.99982900e-01
6,6.50000000e-02,1,-7.96666477e-01,4.99983027e-01
7,7.50000000e-02,1,-7.96666477e-01,4.99983157e-01
8,8.50000000e-02,1,-7.96666477e-01,4.99983289e-01
9,9.50000000e-02,1,-7.96666477e-01,4.99983425e-01
10,1.05000000e-01,1,-7.96666477e-01,4.99983564e-01
11,1.15000000e-01,1,-7.96666477e-01,4.99983705e-01
12,1.25000000e-01,1,-7.96666477e-01,4.99983849e-01
13,1.35000000e-01,1,-7.96666477e-01,4.99983997e-01
14,1.45000000e-01,1,-7.96666477e-01,4.99984147e-01
15,1.55000000e-01,1,-7.96666477e-01,4.99984300e-01
16,1.65000000e-01,1,-7.96666477e-01,4.99984455e-01
17,1.75000000e-01,1,-7.96666477e-01,4.99984613e-01
18,1.85000000e-01,1,-7.96666477e-01,4.99984774e-01
19,1.95000000e-01,1,-7.96666477e-01,4.99984938e-01
20,2.05000000e-01,1,-7.96666477e-01,4.99985103e-01
21,2.15000000e-01,1,-7.96666477e-01,4.99985272e-01
22,2.25000000e-01,1,-7.96666477e-01,4.99985443e-01
23,2.35000000e-01,1,-7.96666477e-01,4.99985616e-01
24,2.45000000e-01,1,-7.96666477e-01,4.99985791e-01
25,2.55000000e-01,1,-7.96666477e-01,4.99985969e-01
26,2.65000000e-01,1,-7.96666477e-01,4.99986149e-01
27,2.75000000e-01,1,-7.96666477e-01,4.99986331e-01
28,2.85000000e-01,1,-7.96666477e-01,4.99986515e-01
29,2.95000000e-01,1,-7.96666477e-01,4.99986701e-01
30,3.05000000e-01,1,-7.96666477e-01,4.99986888e-01
31,3.15000000e-01,1,-7.96666477e-01,4.99987078e-01
32,3.25000000e-01,1,-7.96666477e-01,4.99987270e-01
33,3.35000000e-01,1,-7.96666477e-01,4.99987463e-01
34,3.45000000e-01,1,-7.96666477e-01,4.99987658e-01
35,3.55000000e-01,1,-7.96666477e-01,4.99987854e-01
36,3.65000000e-01,1,-7.96666477e-01,4.99988052e-01
37,3.75000000e-01,1,-7.96666477e-01,4.99988251e-01
38,3.85000000e-01,1,-7.96666477e-01,4.99988451e-01
39,3.95000000e-01,1,-7.96666477e-01,4.99988653e-01
40,4.05000000e-01,1,-7.96666477e-01,4.99988856e-01
41,4.15000000e-01,1,-7.96666477e-01,4.99989060e-01
42,4.25000000e-01,1,-7.96666477e-01,4.99989265e-01
43,4.35000000e-01,1,-7.96666477e-01,4.99989471e-01
44,4.45000000e-01,1,-7.96666477e-01,4.99989678e-01
