cell,r_center_cm,phi_0
0,5.00000000e-03,9.99881988e-01
1,1.50000000e-02,9.99882037e-01
2,2.50000000e-02,9.99882118e-01
3,3.50000000e-02,9.99882231e-01
4,4.50000000e-02,9.99882361e-01
5,5.50000000e-02,9.99882515e-01
6,6.50000000e-02,9.99882689e-01
7,7.50000000e-02,9.99882885e-01
8,8.50000000e-02,9.99883103e-01
9,9.50000000e-02,9.99883344e-01
10,1.05000000e-01,9.99883608e-01
11,1.15000000e-01,9.99883896e-01
12,1.25000000e-01,9.99884207e-01
13,1.35000000e-01,9.99884542e-01
14,1.45000000e-01,9.99884901e-01
15,1.55000000e-01,9.99885284e-01
16,1.65000000e-01,9.99885692e-01
17,1.75000000e-01,9.99886123e-01
18,1.85000000e-01,9.99886580e-01
19,1.95000000e-01,9.99887060e-01
20,2.05000000e-01,9.99887565e-01
21,2.15000000e-01,9.99888094e-01
22,2.25000000e-01,9.99888647e-01
23,2.35000000e-01,9.99889225e-01
24,2.45000000e-01,9.99889826e-01
25,2.55000000e-01,9.99890452e-01
26,2.65000000e-01,9.99891101e-01
27,2.75000000e-01,9.99891773e-01
28,2.85000000e-01,9.99892469e-01
29,2.95000000e-01,9.99893188e-01
30,3.05000000e-01,9.99893930e-01
31,3.15000000e-01,9.99894694e-01
32,3.25000000e-01,9.99895481e-01
33,3.35000000e-01,9.99896290e-01
34,3.45000000e-01,9.99897120e-01
35,3.55000000e-01,9.99897973e-01
36,3.65000000e-01,9.99898846e-01
37,3.75000000e-01,9.99899741e-01
38,3.85000000e-01,9.99900656e-01
39,3.95000000e-01,9.99901591e-01
40,4.05000000e-01,9.99902547e-01
41,4.15000000e-01,9.99903522e-01
42,4.25000000e-01,9.99904516e-01
43,4.35000000e-01,9.99905529e-01
44,4.45000000e-01,9.99906561e-01
45,4.55000000e-01,9.99907610e-01
46,4.65000000e-01,9.99908678e-01
47,4.75000000e-01,9.99909762e-01
48,4.85000000e-01,9.99910864e-01
49,4.95000000e-01,9.99911982e-01
50,5.05000000e-01,9.99913116e-01
51,5.15000000e-01,9.99914266e-01
52,5.25000000e-01,9.99915431e-01
53,5.35000000e-01,9.99916610e-01
54,5.45000000e-01,9.99917804e-01
55,5.55000000e-01,9.99919012e-01
56,5.65000000e-01,9.99920234e-01
57,5.75000000e-01,9.99921468e-01
58,5.85000000e-01,9.99922715e-01
59,5.95000000e-01,9.99923975e-01
60,6.05000000e-01,9.99925245e-01
61,6.15000000e-01,9.99926527e-01
62,6.25000000e-01,9.99927820e-01
63,6.35000000e-01,9.99929123e-01
64,6.45000000e-01,9.99930436e-01
65,6.55000000e-01,9.99931758e-01
66,6.65000000e-01,9.99933089e-01
67,6.75000000e-01,9.99934428e-01
68,6.85000000e-01,9.99935776e-01
69,6.95000000e-01,9.99937131e-01
70,7.05000000e-01,9.99938493e-01
71,7.15000000e-01,9.99939862e-01
72,7.25000000e-01,9.99941238e-01
73,7.35000000e-01,9.99942619e-01
74,7.45000000e-01,9.99944005e-01
75,7.55000000e-01,9.99945397e-01
76,7.65000000e-01,9.99946794e-01
77,7.75000000e-01,9.99948195e-01
78,7.85000000e-01,9.99949600e-01
79,7.95000000e-01,9.99951009e-01
80,8.05000000e-01,9.99952421e-01
81,8.15000000e-01,9.99953837e-01
82,8.25000000e-01,9.99955256e-01
83,8.35000000e-01,9.99956677e-01
84,8.45000000e-01,9.99958102e-01
85,8.55000000e-01,9.99959530e-01
86,8.65000000e-01,9.99960960e-01
87,8.75000000e-01,9.99962394e-01
88,8.85000000e-01,9.99963832e-01
89,8.95000000e-01,9.99965274e-01
90,9.05000000e-01,9.99966722e-01
91,9.15000000e-01,9.99968177e-01
92,9.25000000e-01,9.99969643e-01
93,9.35000000e-01,9.99971123e-01
94,9.45000000e-01,9.99972623e-01
95,9.55000000e-01,9.99974153e-01
96,9.65000000e-01,9.99975725e-01
97,9.75000000e-01,9.99977360e-01
98,9.85000000e-01,9.99979086e-01
99,9.95000000e-01,9.99980947e-01
