cell,r_center_cm,direction,mu_m,psi_ang_in
0,5.00000000e-03,0,-8.61136312e-01,7.04558386e-01
1,1.50000000e-02,0,-8.61136312e-01,7.11639018e-01
2,2.50000000e-02,0,-8.61136312e-01,7.18790749e-01
3,3.50000000e-02,0,-8.61136312e-01,7.26014042e-01
4,4.50000000e-02,0,-8.61136312e-01,7.33309560e-01
5,5.50000000e-02,0,-8.61136312e-01,7.40678045e-01
6,6.50000000e-02,0,-8.61136312e-01,7.48120218e-01
7,7.50000000e-02,0,-8.61136312e-01,7.55636810e-01
8,8.50000000e-02,0,-8.61136312e-01,7.63228560e-01
9,9.50000000e-02,0,-8.61136312e-01,7.70896215e-01
10,1.05000000e-01,0,-8.61136312e-01,7.78640531e-01
11,1.15000000e-01,0,-8.61136312e-01,7.86462271e-01
12,1.25000000e-01,0,-8.61136312e-01,7.94362206e-01
13,1.35000000e-01,0,-8.61136312e-01,8.02341116e-01
14,1.45000000e-01,0,-8.61136312e-01,8.10399791e-01
15,1.55000000e-01,0,-8.61136312e-01,8.18539029e-01
16,1.65000000e-01,0,-8.61136312e-01,8.26759634e-01
17,1.75000000e-01,0,-8.61136312e-01,8.35062424e-01
18,1.85000000e-01,0,-8.61136312e-01,8.43448222e-01
19,1.95000000e-01,0,-8.61136312e-01,8.51917861e-01
20,2.05000000e-01,0,-8.61136312e-01,8.60472186e-01
21,2.15000000e-01,0,-8.61136312e-01,8.69112047e-01
22,2.25000000e-01,0,-8.61136312e-01,8.77838306e-01
23,2.35000000e-01,0,-8.61136312e-01,8.86651835e-01
24,2.45000000e-01,0,-8.61136312e-01,8.95553515e-01
25,2.55000000e-01,0,-8.61136312e-01,9.04544235e-01
26,2.65000000e-01,0,-8.61136312e-01,9.13624898e-01
27,2.75000000e-01,0,-8.61136312e-01,9.22796412e-01
28,2.85000000e-01,0,-8.61136312e-01,9.32059700e-01
29,2.95000000e-01,0,-8.61136312e-01,9.41415691e-01
30,3.05000000e-01,0,-8.61136312e-01,9.50865328e-01
31,3.15000000e-01,0,-8.61136312e-01,9.60409563e-01
32,3.25000000e-01,0,-8.61136312e-01,9.70049357e-01
33,3.35000000e-01,0,-8.61136312e-01,9.79785684e-01
34,3.45000000e-01,0,-8.61136312e-01,9.89619529e-01
35,3.55000000e-01,0,-8.61136312e-01,9.99551887e-01
36,3.65000000e-01,0,-8.61136312e-01,1.00958377e+00
37,3.75000000e-01,0,-8.61136312e-01,1.01971618e+00
