cell,r_center_cm,phi_0,phi_1,phi_2,phi_3
0,5.00000000e-03,1.42800110e+00,-2.62772696e-03,-1.23328452e-04,2.23722613e-04
1,1.50000000e-02,1.42916853e+00,-7.14340470e-03,-1.93183193e-04,2.22269453e-04
2,2.50000000e-02,1.43061087e+00,-1.19141004e-02,-3.22318352e-04,2.96772144e-04
3,3.50000000e-02,1.43220612e+00,-1.66929187e-02,-4.40932777e-04,3.79240142e-04
4,4.50000000e-02,1.43387802e+00,-2.14803456e-02,-5.37572114e-04,4.73023788e-04
5,5.50000000e-02,1.43561815e+00,-2.62766876e-02,-6.18935584e-04,5.70204827e-04
6,6.50000000e-02,1.43742241e+00,-3.10822913e-02,-6.85478679e-04,6.70030095e-04
7,7.50000000e-02,1.43929066e+00,-3.58975171e-02,-7.37966724e-04,7.71876550e-04
8,8.50000000e-02,1.44122404e+00,-4.07227435e-02,-7.77024856e-04,8.75418738e-04
9,9.50000000e-02,1.44322426e+00,-4.55583663e-02,-8.03206916e-04,9.80473852e-04
10,1.05000000e-01,1.44529334e+00,-5.04047986e-02,-8.17025992e-04,1.08693652e-03
11,1.15000000e-01,1.44743343e+00,-5.52624702e-02,-8.18970544e-04,1.19474763e-03
12,1.25000000e-01,1.44964681e+00,-6.01318275e-02,-8.09513919e-04,1.30387816e-03
13,1.35000000e-01,1.45193578e+00,-6.50133333e-02,-7.89120502e-04,1.41432018e-03
14,1.45000000e-01,1.45430271e+00,-6.99074670e-02,-7.58250005e-04,1.52608163e-03
15,1.55000000e-01,1.45675001e+00,-7.48147245e-02,-7.17360645e-04,1.63918314e-03
16,1.65000000e-01,1.45928010e+00,-7.97356183e-02,-6.66911644e-04,1.75365604e-03
17,1.75000000e-01,1.46189547e+00,-8.46706779e-02,-6.07365261e-04,1.86954117e-03
18,1.85000000e-01,1.46459863e+00,-8.96204497e-02,-5.39188526e-04,1.98688805e-03
19,1.95000000e-01,1.46739214e+00,-9.45854974e-02,-4.62854759e-04,2.10575440e-03
