cell,r_center_cm,direction,mu_m,psi_ang_in
0,5.00000000e-03,0,-9.60289856e-01,7.85070915e+00
1,1.50000000e-02,0,-9.60289856e-01,7.84440932e+00
2,2.50000000e-02,0,-9.60289856e-01,7.83659513e+00
3,3.50000000e-02,0,-9.60289856e-01,7.82726436e+00
4,4.50000000e-02,0,-9.60289856e-01,7.81642044e+00
5,5.50000000e-02,0,-9.60289856e-01,7.80406305e+00
6,6.50000000e-02,0,-9.60289856e-01,7.79019403e+00
7,7.50000000e-02,0,-9.60289856e-01,7.77481400e+00
8,8.50000000e-02,0,-9.60289856e-01,7.75792459e+00
9,9.50000000e-02,0,-9.60289856e-01,7.73952667e+00
10,1.05000000e-01,0,-9.60289856e-01,7.71962139e+00
11,1.15000000e-01,0,-9.60289856e-01,7.69820957e+00
12,1.25000000e-01,0,-9.60289856e-01,7.67529200e+00
13,1.35000000e-01,0,-9.60289856e-01,7.65086932e+00
14,1.45000000e-01,0,-9.60289856e-01,7.62494211e+00
15,1.55000000e-01,0,-9.60289856e-01,7.59751084e+00
16,1.65000000e-01,0,-9.60289856e-01,7.56857593e+00
17,1.75000000e-01,0,-9.60289856e-01,7.53813774e+00
18,1.85000000e-01,0,-9.60289856e-01,7.50619658e+00
19,1.95000000e-01,0,-9.60289856e-01,7.47275272e+00
20,2.05000000e-01,0,-9.60289856e-01,7.43780639e+00
21,2.15000000e-01,0,-9.60289856e-01,7.40135781e+00
22,2.25000000e-01,0,-9.60289856e-01,7.36340715e+00
23,2.35000000e-01,0,-9.60289856e-01,7.32395458e+00
24,2.45000000e-01,0,-9.60289856e-01,7.28300023e+00
25,2.55000000e-01,0,-9.60289856e-01,7.24054425e+00
26,2.65000000e-01,0,-9.60289856e-01,7.19658674e+00
27,2.75000000e-01,0,-9.60289856e-01,7.15112780e+00
28,2.85000000e-01,0,-9.60289856e-01,7.10416754e+00
29,2.95000000e-01,0,-9.60289856e-01,7.05570602e+00
30,3.05000000e-01,0,-9.60289856e-01,7.00574334e+00
31,3.15000000e-01,0,-9.60289856e-01,6.95427955e+00
32,3.25000000e-01,0,-9.60289856e-01,6.90131473e+00
33,3.35000000e-01,0,-9.60289856e-01,6.84684893e+00
34,3.45000000e-01,0,-9.60289856e-01,6.79088220e+00
35,3.55000000e-01,0,-9.60289856e-01,6.73341459e+00
36,3.65000000e-01,0,-9.60289856e-01,6.67444615e+00
37,3.75000000e-01,0,-9.60289856e-01,6.61397693e+00
38,3.85000000e-01,0,-9.60289856e-01,6.55200695e+00
39,3.95000000e-01,0,-9.60289856e-01,6.48853625e+00
40,4.05000000e-01,0,-9.60289856e-01,6.42356488e+00
41,4.15000000e-01,0,-9.60289856e-01,6.35709285e+00
42,4.25000000e-01,0,-9.60289856e-01,6.28912020e+00
43,4.35000000e-01,0,-9.60289856e-01,6.21964696e+00
44,4.45000000e-01,0,-9.60289856e-01,6.14867315e+00
45,4.55000000e-01,0,-9.60289856e-01,6.07619879e+00
46,4.65000000e-01,0,-9.60289856e-01,6.00222391e+00
47,4.75000000e-01,0,-9.60289856e-01,5.92674853e+00
48,4.85000000e-01,0,-9.60289856e-01,5.84977267e+00
49,4.95000000e-01,0,-9.60289856e-01,5.77129634e+00
50,5.05000000e-01,0,-9.60289856e-01,5.69131957e+00
51,5.15000000e-01,0,-9.60289856e-01,5.60984237e+00
52,5.25000000e-01,0,-9.60289856e-01,5.52686476e+00
53,5.35000000e-01,0,-9.60289856e-01,5.44238675e+00
54,5.45000000e-01,0,-9.60289856e-01,5.35640836e+00
55,5.55000000e-01,0,-9.60289856e-01,5.26892960e+00
56,5.65000000e-01,0,-9.60289856e-01,5.17995049e+00
57,5.75000000e-01,0,-9.60289856e-01,5.08947103e+00
58,5.85000000e-01,0,-9.60289856e-01,4.99749126e+00
59,5.95000000e-01,0,-9.60289856e-01,4.90401117e+00
60,6.05000000e-01,0,-9.60289856e-01,4.80903079e+00
61,6.15000000e-01,0,-9.60289856e-01,4.71255013e+00
62,6.25000000e-01,0,-9.60289856e-01,4.61456921e+00
63,6.35000000e-01,0,-9.60289856e-01,4.51508807e+00
64,6.45000000e-01,0,-9.60289856e-01,4.41410672e+00
65,6.55000000e-01,0,-9.60289856e-01,4.31162521e+00
66,6.65000000e-01,0,-9.60289856e-01,4.20764358e+00
67,6.75000000e-01,0,-9.60289856e-01,4.10216190e+00
68,6.85000000e-01,0,-9.60289856e-01,3.99518026e+00
69,6.95000000e-01,0,-9.60289856e-01,3.88669877e+00
70,7.05000000e-01,0,-9.60289856e-01,3.77671758e+00
71,7.15000000e-01,0,-9.60289856e-01,3.66523693e+00
72,7.25000000e-01,0,-9.60289856e-01,3.55225709e+00
73,7.35000000e-01,0,-9.60289856e-01,3.43777848e+00
74,7.45000000e-01,0,-9.60289856e-01,3.32180166e+00
75,7.55000000e-01,0,-9.60289856e-01,3.20432741e+00
76,7.65000000e-01,0,-9.60289856e-01,3.08535680e+00
77,7.75000000e-01,0,-9.60289856e-01,2.96489131e+00
78,7.85000000e-01,0,-9.60289856e-01,2.84293299e+00
79,7.95000000e-01,0,-9.60289856e-01,2.71948470e+00
80,8.05000000e-01,0,-9.60289856e-01,2.59455038e+00
81,8.15000000e-01,0,-9.60289856e-01,2.46813551e+00
82,8.25000000e-01,0,-9.60289856e-01,2.34024772e+00
83,8.35000000e-01,0,-9.60289856e-01,2.21089760e+00
84,8.45000000e-01,0,-9.60289856e-01,2.08009994e+00
85,8.55000000e-01,0,-9.60289856e-01,1.94787539e+00
86,8.65000000e-01,0,-9.60289856e-01,1.81425286e+00
87,8.75000000e-01,0,-9.60289856e-01,1.67927292e+00
88,8.85000000e-01,0,-9.60289856e-01,1.54299267e+00
89,8.95000000e-01,0,-9.60289856e-01,1.40549280e+00
90,9.05000000e-01,0,-9.60289856e-01,1.26688776e+00
91,9.15000000e-01,0,-9.60289856e-01,1.12734077e+00
92,9.25000000e-01,0,-9.60289856e-01,9.87085842e-01
93,9.35000000e-01,0,-9.60289856e-01,8.46460822e-01
94,9.45000000e-01,0,-9.60289856e-01,7.05957238e-01
95,9.55000000e-01,0,-9.60289856e-01,5.66296755e-01
96,9.65000000e-01,0,-9.60289856e-01,4.28552150e-01
97,9.75000000e-01,0,-9.60289856e-01,2.94363635e-01
98,9.85000000e-01,0,-9.60289856e-01,1.66530870e-01
99,9.95000000e-01,0,-9.60289856e-01,5.23269963e-02
0,5.00000000e-03,1,-7.96666477e-01,7.84979874e+00
1,1.50000000e-02,1,-7.96666477e-01,7.84442879e+00
2,2.50000000e-02,1,-7.96666477e-01,7.83712149e+00
3,3.50000000e-02,1,-7.96666477e-01,7.82825159e+00
4,4.50000000e-02,1,-7.96666477e-01,7.81786238e+00
5,5.50000000e-02,1,-7.96666477e-01,7.80596184e+00
6,6.50000000e-02,1,-7.96666477e-01,7.79255370e+00
7,7.50000000e-02,1,-7.96666477e-01,7.77763876e+00
8,8.50000000e-02,1,-7.96666477e-01,7.76121834e+00
9,9.50000000e-02,1,-7.96666477e-01,7.74329289e+00
10,1.05000000e-01,1,-7.96666477e-01,7.72386315e+00
11,1.15000000e-01,1,-7.96666477e-01,7.70292956e+00
12,1.25000000e-01,1,-7.96666477e-01,7.68049259e+00
13,1.35000000e-01,1,-7.96666477e-01,7.65655258e+00
14,1.45000000e-01,1,-7.96666477e-01,7.63110988e+00
15,1.55000000e-01,1,-7.96666477e-01,7.60416474e+00
16,1.65000000e-01,1,-7.96666477e-01,7.57571742e+00
17,1.75000000e-01,1,-7.96666477e-01,7.54576812e+00
18,1.85000000e-01,1,-7.96666477e-01,7.51431701e+00
19,1.95000000e-01,1,-7.96666477e-01,7.48136424e+00
20,2.05000000e-01,1,-7.96666477e-01,7.44690997e+00
21,2.15000000e-01,1,-7.96666477e-01,7.41095430e+00
22,2.25000000e-01,1,-7.96666477e-01,7.37349734e+00
23,2.35000000e-01,1,-7.96666477e-01,7.33453918e+00
24,2.45000000e-01,1,-7.96666477e-01,7.29407990e+00
25,2.55000000e-01,1,-7.96666477e-01,7.25211959e+00
26,2.65000000e-01,1,-7.96666477e-01,7.20865830e+00
27,2.75000000e-01,1,-7.96666477e-01,7.16369610e+00
28,2.85000000e-01,1,-7.96666477e-01,7.11723304e+00
29,2.95000000e-01,1,-7.96666477e-01,7.06926916e+00
30,3.05000000e-01,1,-7.96666477e-01,7.01980452e+00
31,3.15000000e-01,1,-7.96666477e-01,6.96883916e+00
32,3.25000000e-01,1,-7.96666477e-01,6.91637311e+00
33,3.35000000e-01,1,-7.96666477e-01,6.86240641e+00
34,3.45000000e-01,1,-7.96666477e-01,6.80693908e+00
35,3.55000000e-01,1,-7.96666477e-01,6.74997117e+00
36,3.65000000e-01,1,-7.96666477e-01,6.69150269e+00
37,3.75000000e-01,1,-7.96666477e-01,6.63153367e+00
38,3.85000000e-01,1,-7.96666477e-01,6.57006414e+00
39,3.95000000e-01,1,-7.96666477e-01,6.50709411e+00
40,4.05000000e-01,1,-7.96666477e-01,6.44262361e+00
41,4.15000000e-01,1,-7.96666477e-01,6.37665266e+00
42,4.25000000e-01,1,-7.96666477e-01,6.30918128e+00
43,4.35000000e-01,1,-7.96666477e-01,6.24020947e+00
44,4.45000000e-01,1,-7.96666477e-01,6.16973727e+00
45,4.55000000e-01,1,-7.96666477e-01,6.09776467e+00
46,4.65000000e-01,1,-7.96666477e-01,6.02429171e+00
47,4.75000000e-01,1,-7.96666477e-01,5.94931838e+00
48,4.85000000e-01,1,-7.96666477e-01,5.87284471e+00
49,4.95000000e-01,1,-7.96666477e-01,5.79487070e+00
50,5.05000000e-01,1,-7.96666477e-01,5.71539637e+00
51,5.15000000e-01,1,-7.96666477e-01,5.63442172e+00
52,5.25000000e-01,1,-7.96666477e-01,5.55194677e+00
53,5.35000000e-01,1,-7.96666477e-01,5.46797153e+00
54,5.45000000e-01,1,-7.96666477e-01,5.38249601e+00
55,5.55000000e-01,1,-7.96666477e-01,5.29552021e+00
56,5.65000000e-01,1,-7.96666477e-01,5.20704414e+00
57,5.75000000e-01,1,-7.96666477e-01,5.11706782e+00
58,5.85000000e-01,1,-7.96666477e-01,5.02559124e+00
59,5.95000000e-01,1,-7.96666477e-01,4.93261442e+00
60,6.05000000e-01,1,-7.96666477e-01,4.83813737e+00
61,6.15000000e-01,1,-7.96666477e-01,4.74216008e+00
62,6.25000000e-01,1,-7.96666477e-01,4.64468258e+00
63,6.35000000e-01,1,-7.96666477e-01,4.54570485e+00
64,6.45000000e-01,1,-7.96666477e-01,4.44522692e+00
65,6.55000000e-01,1,-7.96666477e-01,4.34324878e+00
66,6.65000000e-01,1,-7.96666477e-01,4.23977046e+00
67,6.75000000e-01,1,-7.96666477e-01,4.13479194e+00
