cell,r_center_cm,phi_0
0,5.00000000e-03,1.57050655e+01
1,1.50000000e-02,1.57025037e+01
2,2.50000000e-02,1.56970291e+01
3,3.50000000e-02,1.56884365e+01
4,4.50000000e-02,1.56768574e+01
5,5.50000000e-02,1.56622151e+01
6,6.50000000e-02,1.56445609e+01
7,7.50000000e-02,1.56238645e+01
8,8.50000000e-02,1.56001476e+01
9,9.50000000e-02,1.55734033e+01
10,1.05000000e-01,1.55436394e+01
11,1.15000000e-01,1.55108563e+01
12,1.25000000e-01,1.54750572e+01
13,1.35000000e-01,1.54362438e+01
14,1.45000000e-01,1.53944179e+01
15,1.55000000e-01,1.53495809e+01
16,1.65000000e-01,1.53017340e+01
17,1.75000000e-01,1.52508784e+01
18,1.85000000e-01,1.51970149e+01
19,1.95000000e-01,1.51401444e+01
20,2.05000000e-01,1.50802674e+01
21,2.15000000e-01,1.50173846e+01
22,2.25000000e-01,1.49514966e+01
23,2.35000000e-01,1.48826037e+01
24,2.45000000e-01,1.48107064e+01
25,2.55000000e-01,1.47358049e+01
26,2.65000000e-01,1.46578997e+01
27,2.75000000e-01,1.45769910e+01
28,2.85000000e-01,1.44930791e+01
29,2.95000000e-01,1.44061641e+01
30,3.05000000e-01,1.43162463e+01
31,3.15000000e-01,1.42233258e+01
32,3.25000000e-01,1.41274029e+01
33,3.35000000e-01,1.40284776e+01
34,3.45000000e-01,1.39265502e+01
35,3.55000000e-01,1.38216207e+01
36,3.65000000e-01,1.37136892e+01
37,3.75000000e-01,1.36027559e+01
38,3.85000000e-01,1.34888208e+01
39,3.95000000e-01,1.33718841e+01
40,4.05000000e-01,1.32519458e+01
41,4.15000000e-01,1.31290059e+01
42,4.25000000e-01,1.30030647e+01
43,4.35000000e-01,1.28741221e+01
44,4.45000000e-01,1.27421782e+01
45,4.55000000e-01,1.26072330e+01
46,4.65000000e-01,1.24692867e+01
47,4.75000000e-01,1.23283392e+01
48,4.85000000e-01,1.21843906e+01
49,4.95000000e-01,1.20374410e+01
50,5.05000000e-01,1.18874903e+01
51,5.15000000e-01,1.17345387e+01
52,5.25000000e-01,1.15785862e+01
53,5.35000000e-01,1.14196328e+01
54,5.45000000e-01,1.12576785e+01
55,5.55000000e-01,1.10927234e+01
56,5.65000000e-01,1.09247675e+01
57,5.75000000e-01,1.07538108e+01
58,5.85000000e-01,1.05798533e+01
59,5.95000000e-01,1.04028952e+01
60,6.05000000e-01,1.02229363e+01
61,6.15000000e-01,1.00399768e+01
62,6.25000000e-01,9.85401659e+00
63,6.35000000e-01,9.66505576e+00
64,6.45000000e-01,9.47309430e+00
65,6.55000000e-01,9.27813223e+00
66,6.65000000e-01,9.08016957e+00
67,6.75000000e-01,8.87920632e+00
68,6.85000000e-01,8.67524249e+00
69,6.95000000e-01,8.46827807e+00
70,7.05000000e-01,8.25831307e+00
71,7.15000000e-01,8.04534746e+00
72,7.25000000e-01,7.82938122e+00
73,7.35000000e-01,7.61041429e+00
74,7.45000000e-01,7.38844661e+00
75,7.55000000e-01,7.16347806e+00
76,7.65000000e-01,6.93550850e+00
77,7.75000000e-01,6.70453769e+00
78,7.85000000e-01,6.47056531e+00
79,7.95000000e-01,6.23359089e+00
80,8.05000000e-01,5.99361375e+00
81,8.15000000e-01,5.75063294e+00
82,8.25000000e-01,5.50464703e+00
83,8.35000000e-01,5.25565401e+00
84,8.45000000e-01,5.00365087e+00
85,8.55000000e-01,4.74863321e+00
86,8.65000000e-01,4.49059446e+00
87,8.75000000e-01,4.22952474e+00
88,8.85000000e-01,3.96540901e+00
89,8.95000000e-01,3.69822412e+00
90,9.05000000e-01,3.42793396e+00
91,9.15000000e-01,3.15448150e+00
92,9.25000000e-01,2.87777555e+00
93,9.35000000e-01,2.59766845e+00
94,9.45000000e-01,2.31391807e+00
95,9.55000000e-01,2.02612073e+00
96,9.65000000e-01,1.73357360e+00
97,9.75000000e-01,1.43481945e+00
98,9.85000000e-01,1.12473715e+00
99,9.95000000e-01,7.68990357e-01
