cell,r_center_cm,phi_0
0,1.00000000e-02,3.12130253e+00
1,3.00000000e-02,3.12130672e+00
2,5.00000000e-02,3.12131763e+00
3,7.00000000e-02,3.12133563e+00
4,9.00000000e-02,3.12135962e+00
5,1.10000000e-01,3.12139004e+00
6,1.30000000e-01,3.12142657e+00
7,1.50000000e-01,3.12146947e+00
8,1.70000000e-01,3.12151854e+00
9,1.90000000e-01,3.12157397e+00
10,2.10000000e-01,3.12163562e+00
11,2.30000000e-01,3.12170359e+00
12,2.50000000e-01,3.12177780e+00
13,2.70000000e-01,3.12185832e+00
14,2.90000000e-01,3.12194510e+00
15,3.10000000e-01,3.12203816e+00
16,3.30000000e-01,3.12213748e+00
17,3.50000000e-01,3.12224308e+00
18,3.70000000e-01,3.12235495e+00
19,3.90000000e-01,3.12247308e+00
20,4.10000000e-01,3.12259748e+00
21,4.30000000e-01,3.12272814e+00
22,4.50000000e-01,3.12286507e+00
23,4.70000000e-01,3.12300826e+00
24,4.90000000e-01,3.12315772e+00
25,5.10000000e-01,3.12331343e+00
26,5.30000000e-01,3.12347541e+00
27,5.50000000e-01,3.12364365e+00
28,5.70000000e-01,3.12381815e+00
29,5.90000000e-01,3.12399892e+00
30,6.10000000e-01,3.12418594e+00
31,6.30000000e-01,3.12437922e+00
32,6.50000000e-01,3.12457877e+00
33,6.70000000e-01,3.12478458e+00
34,6.90000000e-01,3.12499665e+00
35,7.10000000e-01,3.12521499e+00
36,7.30000000e-01,3.12543958e+00
37,7.50000000e-01,3.12567044e+00
38,7.70000000e-01,3.12590757e+00
39,7.90000000e-01,3.12615095e+00
40,8.10000000e-01,3.12640061e+00
41,8.30000000e-01,3.12665653e+00
42,8.50000000e-01,3.12691871e+00
43,8.70000000e-01,3.12718716e+00
44,8.90000000e-01,3.12746188e+00
45,9.10000000e-01,3.12774287e+00
46,9.30000000e-01,3.12803013e+00
47,9.50000000e-01,3.12832366e+00
48,9.70000000e-01,3.12862346e+00
49,9.90000000e-01,3.12892953e+00
50,1.01000000e+00,3.12924187e+00
51,1.03000000e+00,3.12956049e+00
52,1.05000000e+00,3.12988538e+00
53,1.07000000e+00,3.13021655e+00
54,1.09000000e+00,3.13055400e+00
55,1.11000000e+00,3.13089772e+00
56,1.13000000e+00,3.13124773e+00
57,1.15000000e+00,3.13160401e+00
58,1.17000000e+00,3.13196658e+00
59,1.19000000e+00,3.13233543e+00
60,1.21000000e+00,3.13271056e+00
61,1.23000000e+00,3.13309198e+00
62,1.25000000e+00,3.13347968e+00
63,1.27000000e+00,3.13387368e+00
64,1.29000000e+00,3.13427396e+00
65,1.31000000e+00,3.13468053e+00
66,1.33000000e+00,3.13509340e+00
67,1.35000000e+00,3.13551255e+00
68,1.37000000e+00,3.13593801e+00
69,1.39000000e+00,3.13636976e+00
70,1.41000000e+00,3.13680781e+00
71,1.43000000e+00,3.13725215e+00
72,1.45000000e+00,3.13770280e+00
73,1.47000000e+00,3.13815975e+00
74,1.49000000e+00,3.13862301e+00
75,1.51000000e+00,3.13909257e+00
76,1.53000000e+00,3.13956844e+00
77,1.55000000e+00,3.14005062e+00
78,1.57000000e+00,3.14053910e+00
79,1.59000000e+00,3.14103390e+00
80,1.61000000e+00,3.14153502e+00
81,1.63000000e+00,3.14204245e+00
82,1.65000000e+00,3.14255620e+00
83,1.67000000e+00,3.14307627e+00
84,1.69000000e+00,3.14360266e+00
85,1.71000000e+00,3.14413537e+00
86,1.73000000e+00,3.14467441e+00
87,1.75000000e+00,3.14521978e+00
88,1.77000000e+00,3.14577147e+00
89,1.79000000e+00,3.14632950e+00
90,1.81000000e+00,3.14689386e+00
91,1.83000000e+00,3.14746455e+00
92,1.85000000e+00,3.14804158e+00
93,1.87000000e+00,3.14862495e+00
94,1.89000000e+00,3.14921466e+00
95,1.91000000e+00,3.14981072e+00
96,1.93000000e+00,3.15041312e+00
97,1.95000000e+00,3.15102186e+00
98,1.97000000e+00,3.15163696e+00
99,1.99000000e+00,3.15225841e+00
