cell,r_center_cm,direction,mu_m,psi_ang_in
0,5.00000000e-01,0,-9.89400935e-01,2.03438490e+00
1,1.50000000e+00,0,-9.89400935e-01,2.04511257e+00
2,2.50000000e+00,0,-9.89400935e-01,2.01086351e+00
3,3.50000000e+00,0,-9.89400935e-01,2.16784909e+00
4,4.50000000e+00,0,-9.89400935e-01,1.92902588e+00
5,5.50000000e+00,0,-9.89400935e-01,2.62342509e+00
6,6.50000000e+00,0,-9.89400935e-01,1.22915674e+00
7,7.50000000e+00,0,-9.89400935e-01,4.64734493e+00
8,8.50000000e+00,0,-9.89400935e-01,-2.91950589e+00
9,9.50000000e+00,0,-9.89400935e-01,1.47694305e+01
0,5.00000000e-01,1,-9.44575023e-01,2.03164892e+00
1,1.50000000e+00,1,-9.44575023e-01,2.03513318e+00
2,2.50000000e+00,1,-9.44575023e-01,2.03424195e+00
3,3.50000000e+00,1,-9.44575023e-01,2.11761765e+00
4,4.50000000e+00,1,-9.44575023e-01,2.03847603e+00
5,5.50000000e+00,1,-9.44575023e-01,2.38163628e+00
6,6.50000000e+00,1,-9.44575023e-01,1.76815863e+00
7,7.50000000e+00,1,-9.44575023e-01,3.43195713e+00
8,8.50000000e+00,1,-9.44575023e-01,-1.60212762e-01
9,9.50000000e+00,1,-9.44575023e-01,8.46021268e+00
0,5.00000000e-01,2,-8.65631202e-01,2.05170322e+00
1,1.50000000e+00,2,-8.65631202e-01,2.00545145e+00
2,2.50000000e+00,2,-8.65631202e-01,2.09425201e+00
3,3.50000000e+00,2,-8.65631202e-01,1.98758713e+00
4,4.50000000e+00,2,-8.65631202e-01,2.31677589e+00
5,5.50000000e+00,2,-8.65631202e-01,1.77466777e+00
6,6.50000000e+00,2,-8.65631202e-01,3.09021944e+00
7,7.50000000e+00,2,-8.65631202e-01,5.29426867e-01
8,8.50000000e+00,2,-8.65631202e-01,6.22542520e+00
9,9.50000000e+00,2,-8.65631202e-01,-5.64917951e+00
0,5.00000000e-01,3,-7.55404408e-01,1.99361641e+00
1,1.50000000e+00,3,-7.55404408e-01,2.10362771e+00
2,2.50000000e+00,3,-7.55404408e-01,1.91536493e+00
3,3.50000000e+00,3,-7.55404408e-01,2.30922558e+00
4,4.50000000e+00,3,-7.55404408e-01,1.72996074e+00
5,5.50000000e+00,3,-7.55404408e-01,2.85333471e+00
6,6.50000000e+00,3,-7.55404408e-01,1.07302161e+00
7,7.50000000e+00,3,-7.55404408e-01,4.34431977e+00
8,8.50000000e+00,3,-7.55404408e-01,-1.09937965e+00
9,9.50000000e+00,3,-7.55404408e-01,8.59179028e+00
0,5.00000000e-01,4,-6.17876244e-01,2.13878006e+00
1,1.50000000e+00,4,-6.17876244e-01,1.86451420e+00
2,2.50000000e+00,4,-6.17876244e-01,2.31789321e+00
3,3.50000000e+00,4,-6.17876244e-01,1.65132954e+00
4,4.50000000e+00,4,-6.17876244e-01,2.79149323e+00
5,5.50000000e+00,4,-6.17876244e-01,1.12705318e+00
6,6.50000000e+00,4,-6.17876244e-01,3.88693675e+00
7,7.50000000e+00,4,-6.17876244e-01,-2.85277488e-01
8,8.50000000e+00,4,-6.17876244e-01,6.55162517e+00
9,9.50000000e+00,4,-6.17876244e-01,-4.14656766e+00
0,5.00000000e-01,5,-4.58016778e-01,1.86630811e+00
1,1.50000000e+00,5,-4.58016778e-01,2.30788941e+00
2,2.50000000e+00,5,-4.58016778e-01,1.60525044e+00
