cell,r_center_cm,direction,mu_m,w_m,psi_cell
0,1.00000000e-02,0,-9.89400935e-01,2.71524594e-02,4.34048173e-01
1,3.00000000e-02,0,-9.89400935e-01,2.71524594e-02,4.42623518e-01
2,5.00000000e-02,0,-9.89400935e-01,2.71524594e-02,4.52072580e-01
3,7.00000000e-02,0,-9.89400935e-01,2.71524594e-02,4.62118733e-01
4,9.00000000e-02,0,-9.89400935e-01,2.71524594e-02,4.72742408e-01
5,1.10000000e-01,0,-9.89400935e-01,2.71524594e-02,4.83952486e-01
6,1.30000000e-01,0,-9.89400935e-01,2.71524594e-02,4.95764425e-01
7,1.50000000e-01,0,-9.89400935e-01,2.71524594e-02,5.08196653e-01
8,1.70000000e-01,0,-9.89400935e-01,2.71524594e-02,5.21269003e-01
9,1.90000000e-01,0,-9.89400935e-01,2.71524594e-02,5.35002588e-01
10,2.10000000e-01,0,-9.89400935e-01,2.71524594e-02,5.49419429e-01
11,2.30000000e-01,0,-9.89400935e-01,2.71524594e-02,5.64542586e-01
12,2.50000000e-01,0,-9.89400935e-01,2.71524594e-02,5.80395995e-01
13,2.70000000e-01,0,-9.89400935e-01,2.71524594e-02,5.97004602e-01
14,2.90000000e-01,0,-9.89400935e-01,2.71524594e-02,6.14394279e-01
15,3.10000000e-01,0,-9.89400935e-01,2.71524594e-02,6.32591917e-01
16,3.30000000e-01,0,-9.89400935e-01,2.71524594e-02,6.51625389e-01
17,3.50000000e-01,0,-9.89400935e-01,2.71524594e-02,6.71523604e-01
18,3.70000000e-01,0,-9.89400935e-01,2.71524594e-02,6.92316494e-01
19,3.90000000e-01,0,-9.89400935e-01,2.71524594e-02,7.14035041e-01
20,4.10000000e-01,0,-9.89400935e-01,2.71524594e-02,7.36711265e-01
21,4.30000000e-01,0,-9.89400935e-01,2.71524594e-02,7.60378228e-01
22,4.50000000e-01,0,-9.89400935e-01,2.71524594e-02,7.85070015e-01
23,4.70000000e-01,0,-9.89400935e-01,2.71524594e-02,8.10821713e-01
24,4.90000000e-01,0,-9.89400935e-01,2.71524594e-02,8.37669374e-01
25,5.10000000e-01,0,-9.89400935e-01,2.71524594e-02,8.65649963e-01
26,5.30000000e-01,0,-9.89400935e-01,2.71524594e-02,8.94801289e-01
27,5.50000000e-01,0,-9.89400935e-01,2.71524594e-02,9.25161917e-01
28,5.70000000e-01,0,-9.89400935e-01,2.71524594e-02,9.56771056e-01
29,5.90000000e-01,0,-9.89400935e-01,2.71524594e-02,9.89668416e-01
30,6.10000000e-01,0,-9.89400935e-01,2.71524594e-02,1.02389403e+00
31,6.30000000e-01,0,-9.89400935e-01,2.71524594e-02,1.05948806e+00
32,6.50000000e-01,0,-9.89400935e-01,2.71524594e-02,1.09649048e+00
33,6.70000000e-01,0,-9.89400935e-01,2.71524594e-02,1.13494085e+00
34,6.90000000e-01,0,-9.89400935e-01,2.71524594e-02,1.17487781e+00
35,7.10000000e-01,0,-9.89400935e-01,2.71524594e-02,1.21633871e+00
36,7.30000000e-01,0,-9.89400935e-01,2.71524594e-02,1.25935893e+00
37,7.50000000e-01,0,-9.89400935e-01,2.71524594e-02,1.30397122e+00
38,7.70000000e-01,0,-9.89400935e-01,2.71524594e-02,1.35020472e+00
39,7.90000000e-01,0,-9.89400935e-01,2.71524594e-02,1.39808385e+00
40,8.10000000e-01,0,-9.89400935e-01,2.71524594e-02,1.44762674e+00
41,8.30000000e-01,0,-9.89400935e-01,2.71524594e-02,1.49884329e+00
42,8.50000000e-01,0,-9.89400935e-01,2.71524594e-02,1.55173248e+00
43,8.70000000e-01,0,-9.89400935e-01,2.71524594e-02,1.60627867e+00
44,8.90000000e-01,0,-9.89400935e-01,2.71524594e-02,1.66244629e+00
45,9.10000000e-01,0,-9.89400935e-01,2.71524594e-02,1.72017141e+00
46,9.30000000e-01,0,-9.89400935e-01,2.71524594e-02,1.77934997e+00
47,9.50000000e-01,0,-9.89400935e-01,2.71524594e-02,1.83980551e+00
48,9.70000000e-01,0,-9.89400935e-01,2.71524594e-02,1.90129004e+00
49,9.90000000e-01,0,-9.89400935e-01,2.71524594e-02,1.96310599e+00
0,1.00000000e-02,1,-9.44575023e-01,6.22535239e-02,4.35125020e-01
1,3.00000000e-02,1,-9.44575023e-01,6.22535239e-02,4.42673327e-01
2,5.00000000e-02,1,-9.44575023e-01,6.22535239e-02,4.51660823e-01
3,7.00000000e-02,1,-9.44575023e-01,6.22535239e-02,4.61319984e-01
4,9.00000000e-02,1,-9.44575023e-01,6.22535239e-02,4.71567855e-01
5,1.10000000e-01,1,-9.44575023e-01,6.22535239e-02,4.82396362e-01
6,1.30000000e-01,1,-9.44575023e-01,6.22535239e-02,4.93814652e-01
7,1.50000000e-01,1,-9.44575023e-01,6.22535239e-02,5.05838362e-01
8,1.70000000e-01,1,-9.44575023e-01,6.22535239e-02,5.18485966e-01
9,1.90000000e-01,1,-9.44575023e-01,6.22535239e-02,5.31777923e-01
10,2.10000000e-01,1,-9.44575023e-01,6.22535239e-02,5.45735996e-01
11,2.30000000e-01,1,-9.44575023e-01,6.22535239e-02,5.60383258e-01
12,2.50000000e-01,1,-9.44575023e-01,6.22535239e-02,5.75743865e-01
13,2.70000000e-01,1,-9.44575023e-01,6.22535239e-02,5.91843175e-01
14,2.90000000e-01,1,-9.44575023e-01,6.22535239e-02,6.08707647e-01
15,3.10000000e-01,1,-9.44575023e-01,6.22535239e-02,6.26364958e-01
16,3.30000000e-01,1,-9.44575023e-01,6.22535239e-02,6.44843963e-01
17,3.50000000e-01,1,-9.44575023e-01,6.22535239e-02,6.64174783e-01
18,3.70000000e-01,1,-9.44575023e-01,6.22535239e-02,6.84388799e-01
19,3.90000000e-01,1,-9.44575023e-01,6.22535239e-02,7.05518715e-01
20,4.10000000e-01,1,-9.44575023e-01,6.22535239e-02,7.27598566e-01
21,4.30000000e-01,1,-9.44575023e-01,6.22535239e-02,7.50663754e-01
22,4.50000000e-01,1,-9.44575023e-01,6.22535239e-02,7.74751064e-01
23,4.70000000e-01,1,-9.44575023e-01,6.22535239e-02,7.99898671e-01
24,4.90000000e-01,1,-9.44575023e-01,6.22535239e-02,8.26146142e-01
25,5.10000000e-01,1,-9.44575023e-01,6.22535239e-02,8.53534423e-01
26,5.30000000e-01,1,-9.44575023e-01,6.22535239e-02,8.82105810e-01
27,5.50000000e-01,1,-9.44575023e-01,6.22535239e-02,9.11903903e-01
28,5.70000000e-01,1,-9.44575023e-01,6.22535239e-02,9.42973535e-01
29,5.90000000e-01,1,-9.44575023e-01,6.22535239e-02,9.75360683e-01
30,6.10000000e-01,1,-9.44575023e-01,6.22535239e-02,1.00911233e+00
31,6.30000000e-01,1,-9.44575023e-01,6.22535239e-02,1.04427631e+00
32,6.50000000e-01,1,-9.44575023e-01,6.22535239e-02,1.08090110e+00
33,6.70000000e-01,1,-9.44575023e-01,6.22535239e-02,1.11903551e+00
34,6.90000000e-01,1,-9.44575023e-01,6.22535239e-02,1.15872840e+00
35,7.10000000e-01,1,-9.44575023e-01,6.22535239e-02,1.20002821e+00
36,7.30000000e-01,1,-9.44575023e-01,6.22535239e-02,1.24298242e+00
37,7.50000000e-01,1,-9.44575023e-01,6.22535239e-02,1.28763685e+00
38,7.70000000e-01,1,-9.44575023e-01,6.22535239e-02,1.33403479e+00
39,7.90000000e-01,1,-9.44575023e-01,6.22535239e-02,1.38221582e+00
40,8.10000000e-01,1,-9.44575023e-01,6.22535239e-02,1.43221433e+00
41,8.30000000e-01,1,-9.44575023e-01,6.22535239e-02,1.48405748e+00
42,8.50000000e-01,1,-9.44575023e-01,6.22535239e-02,1.53776247e+00
43,8.70000000e-01,1,-9.44575023e-01,6.22535239e-02,1.59333266e+00
