cell,r_center_cm,direction,mu_m,psi_ang_in
0,1.00000000e-02,0,-9.89400935e-01,4.33388208e-01
1,3.00000000e-02,0,-9.89400935e-01,4.42444376e-01
2,5.00000000e-02,0,-9.89400935e-01,4.52037508e-01
3,7.00000000e-02,0,-9.89400935e-01,4.62179183e-01
4,9.00000000e-02,0,-9.89400935e-01,4.72884929e-01
5,1.10000000e-01,0,-9.89400935e-01,4.84173194e-01
6,1.30000000e-01,0,-9.89400935e-01,4.96063095e-01
7,1.50000000e-01,0,-9.89400935e-01,5.08574761e-01
8,1.70000000e-01,0,-9.89400935e-01,5.21728926e-01
9,1.90000000e-01,0,-9.89400935e-01,5.35547217e-01
10,2.10000000e-01,0,-9.89400935e-01,5.50051963e-01
11,2.30000000e-01,0,-9.89400935e-01,5.65266412e-01
12,2.50000000e-01,0,-9.89400935e-01,5.81214603e-01
13,2.70000000e-01,0,-9.89400935e-01,5.97921527e-01
14,2.90000000e-01,0,-9.89400935e-01,6.15413045e-01
15,3.10000000e-01,0,-9.89400935e-01,6.33715994e-01
16,3.30000000e-01,0,-9.89400935e-01,6.52858143e-01
17,3.50000000e-01,0,-9.89400935e-01,6.72868254e-01
18,3.70000000e-01,0,-9.89400935e-01,6.93776056e-01
19,3.90000000e-01,0,-9.89400935e-01,7.15612276e-01
20,4.10000000e-01,0,-9.89400935e-01,7.38408617e-01
21,4.30000000e-01,0,-9.89400935e-01,7.62197756e-01
22,4.50000000e-01,0,-9.89400935e-01,7.87013319e-01
23,4.70000000e-01,0,-9.89400935e-01,8.12889853e-01
24,4.90000000e-01,0,-9.89400935e-01,8.39862777e-01
25,5.10000000e-01,0,-9.89400935e-01,8.67968322e-01
26,5.30000000e-01,0,-9.89400935e-01,8.97243454e-01
27,5.50000000e-01,0,-9.89400935e-01,9.27725772e-01
28,5.70000000e-01,0,-9.89400935e-01,9.59453382e-01
29,5.90000000e-01,0,-9.89400935e-01,9.92464746e-01
30,6.10000000e-01,0,-9.89400935e-01,1.02679849e+00
31,6.30000000e-01,0,-9.89400935e-01,1.06249319e+00
32,6.50000000e-01,0,-9.89400935e-01,1.09958706e+00
33,6.70000000e-01,0,-9.89400935e-01,1.13811764e+00
34,6.90000000e-01,0,-9.89400935e-01,1.17812141e+00
35,7.10000000e-01,0,-9.89400935e-01,1.21963325e+00
36,7.30000000e-01,0,-9.89400935e-01,1.26268585e+00
37,7.50000000e-01,0,-9.89400935e-01,1.30730896e+00
38,7.70000000e-01,0,-9.89400935e-01,1.35352848e+00
39,7.90000000e-01,0,-9.89400935e-01,1.40136523e+00
40,8.10000000e-01,0,-9.89400935e-01,1.45083346e+00
41,8.30000000e-01,0,-9.89400935e-01,1.50193885e+00
42,8.50000000e-01,0,-9.89400935e-01,1.55467585e+00
43,8.70000000e-01,0,-9.89400935e-01,1.60902395e+00
44,8.90000000e-01,0,-9.89400935e-01,1.66494247e+00
45,9.10000000e-01,0,-9.89400935e-01,1.72236213e+00
46,9.30000000e-01,0,-9.89400935e-01,1.78117348e+00
47,9.50000000e-01,0,-9.89400935e-01,1.84119494e+00
48,9.70000000e-01,0,-9.89400935e-01,1.90217374e+00
49,9.90000000e-01,0,-9.89400935e-01,1.96341216e+00
0,1.00000000e-02,1,-9.44575023e-01,4.35078891e-01
1,3.00000000e-02,1,-9.44575023e-01,4.42903298e-01
2,5.00000000e-02,1,-9.44575023e-01,4.52127354e-01
3,7.00000000e-02,1,-9.44575023e-01,4.62024324e-01
4,9.00000000e-02,1,-9.44575023e-01,4.72519822e-01
5,1.10000000e-01,1,-9.44575023e-01,4.83607790e-01
6,1.30000000e-01,1,-9.44575023e-01,4.95297969e-01
7,1.50000000e-01,1,-9.44575023e-01,5.07606131e-01
8,1.70000000e-01,1,-9.44575023e-01,5.20550705e-01
9,1.90000000e-01,1,-9.44575023e-01,5.34151999e-01
10,2.10000000e-01,1,-9.44575023e-01,5.48431552e-01
11,2.30000000e-01,1,-9.44575023e-01,5.63412130e-01
12,2.50000000e-01,1,-9.44575023e-01,5.79117509e-01
13,2.70000000e-01,1,-9.44575023e-01,5.95572568e-01
14,2.90000000e-01,1,-9.44575023e-01,6.12803191e-01
15,3.10000000e-01,1,-9.44575023e-01,6.30836358e-01
16,3.30000000e-01,1,-9.44575023e-01,6.49700099e-01
17,3.50000000e-01,1,-9.44575023e-01,6.69423558e-01
18,3.70000000e-01,1,-9.44575023e-01,6.90036981e-01
19,3.90000000e-01,1,-9.44575023e-01,7.11571749e-01
20,4.10000000e-01,1,-9.44575023e-01,7.34060377e-01
21,4.30000000e-01,1,-9.44575023e-01,7.57536528e-01
22,4.50000000e-01,1,-9.44575023e-01,7.82035003e-01
23,4.70000000e-01,1,-9.44575023e-01,8.07591735e-01
24,4.90000000e-01,1,-9.44575023e-01,8.34243764e-01
25,5.10000000e-01,1,-9.44575023e-01,8.62029198e-01
26,5.30000000e-01,1,-9.44575023e-01,8.90987167e-01
27,5.50000000e-01,1,-9.44575023e-01,9.21157744e-01
28,5.70000000e-01,1,-9.44575023e-01,9.52581857e-01
29,5.90000000e-01,1,-9.44575023e-01,9.85301165e-01
30,6.10000000e-01,1,-9.44575023e-01,1.01935791e+00
