cell,r_center_cm,psi_start
0,0.00000000e+00,4.28992956e-01
1,1.00000000e-02,4.33388208e-01
2,3.00000000e-02,4.42444376e-01
3,5.00000000e-02,4.52037508e-01
4,7.00000000e-02,4.62179183e-01
5,9.00000000e-02,4.72884929e-01
6,1.10000000e-01,4.84173194e-01
7,1.30000000e-01,4.96063095e-01
8,1.50000000e-01,5.08574761e-01
9,1.70000000e-01,5.21728926e-01
10,1.90000000e-01,5.35547217e-01
11,2.10000000e-01,5.50051963e-01
12,2.30000000e-01,5.65266412e-01
13,2.50000000e-01,5.81214603e-01
14,2.70000000e-01,5.97921527e-01
15,2.90000000e-01,6.15413045e-01
16,3.10000000e-01,6.33715994e-01
17,3.30000000e-01,6.52858143e-01
18,3.50000000e-01,6.72868254e-01
19,3.70000000e-01,6.93776056e-01
20,3.90000000e-01,7.15612276e-01
21,4.10000000e-01,7.38408617e-01
22,4.30000000e-01,7.62197756e-01
23,4.50000000e-01,7.87013319e-01
24,4.70000000e-01,8.12889853e-01
25,4.90000000e-01,8.39862777e-01
26,5.10000000e-01,8.67968322e-01
27,5.30000000e-01,8.97243454e-01
28,5.50000000e-01,9.27725772e-01
29,5.70000000e-01,9.59453382e-01
30,5.90000000e-01,9.92464746e-01
31,6.10000000e-01,1.02679849e+00
32,6.30000000e-01,1.06249319e+00
33,6.50000000e-01,1.09958706e+00
34,6.70000000e-01,1.13811764e+00
35,6.90000000e-01,1.17812141e+00
36,7.10000000e-01,1.21963325e+00
37,7.30000000e-01,1.26268585e+00
38,7.50000000e-01,1.30730896e+00
39,7.70000000e-01,1.35352848e+00
40,7.90000000e-01,1.40136523e+00
41,8.10000000e-01,1.45083346e+00
42,8.30000000e-01,1.50193885e+00
43,8.50000000e-01,1.55467585e+00
44,8.70000000e-01,1.60902395e+00
45,8.90000000e-01,1.66494247e+00
46,9.10000000e-01,1.72236213e+00
47,9.30000000e-01,1.78117348e+00
48,9.50000000e-01,1.84119494e+00
49,9.70000000e-01,1.90217374e+00
50,9.90000000e-01,1.96341216e+00
