vertex,r_edge_cm,phi_0
0,0.00000000e+00,8.60338487e-01
1,2.00000000e-02,8.60940461e-01
2,4.00000000e-02,8.62066226e-01
3,6.00000000e-02,8.64241284e-01
4,8.00000000e-02,8.67308901e-01
5,1.00000000e-01,8.71173903e-01
6,1.20000000e-01,8.75859414e-01
7,1.40000000e-01,8.81373457e-01
8,1.60000000e-01,8.87747281e-01
9,1.80000000e-01,8.94999686e-01
10,2.00000000e-01,9.03161437e-01
11,2.20000000e-01,9.12255129e-01
12,2.40000000e-01,9.22311947e-01
13,2.60000000e-01,9.33358008e-01
14,2.80000000e-01,9.45425958e-01
15,3.00000000e-01,9.58546124e-01
16,3.20000000e-01,9.72753743e-01
17,3.40000000e-01,9.88084075e-01
18,3.60000000e-01,1.00457633e+00
19,3.80000000e-01,1.02227149e+00
20,4.00000000e-01,1.04121431e+00
21,4.20000000e-01,1.06145262e+00
22,4.40000000e-01,1.08303844e+00
23,4.60000000e-01,1.10602805e+00
24,4.80000000e-01,1.13048275e+00
25,5.00000000e-01,1.15646939e+00
26,5.20000000e-01,1.18406107e+00
27,5.40000000e-01,1.21333798e+00
28,5.60000000e-01,1.24438823e+00
29,5.80000000e-01,1.27730895e+00
30,6.00000000e-01,1.31220748e+00
31,6.20000000e-01,1.34920276e+00
32,6.40000000e-01,1.38842699e+00
33,6.60000000e-01,1.43002768e+00
34,6.80000000e-01,1.47417007e+00
35,7.00000000e-01,1.52104019e+00
36,7.20000000e-01,1.57084881e+00
37,7.40000000e-01,1.62383646e+00
38,7.60000000e-01,1.68028026e+00
39,7.80000000e-01,1.74050312e+00
40,8.00000000e-01,1.80488649e+00
41,8.20000000e-01,1.87388879e+00
42,8.40000000e-01,1.94807214e+00
43,8.60000000e-01,2.02814461e+00
44,8.80000000e-01,2.11502401e+00
45,9.00000000e-01,2.20997364e+00
46,9.20000000e-01,2.31473584e+00
47,9.40000000e-01,2.43247983e+00
48,9.60000000e-01,2.56611285e+00
49,9.80000000e-01,2.73645801e+00
50,1.00000000e+00,2.93520191e+00
