direction,mu_m,w_m,psi_boundary
0,-9.89400935e-01,2.71524594e-02,1.00000000e+00
1,-9.44575023e-01,6.22535239e-02,1.00000000e+00
2,-8.65631202e-01,9.51585117e-02,1.00000000e+00
3,-7.55404408e-01,1.24628971e-01,1.00000000e+00
4,-6.17876244e-01,1.49595989e-01,1.00000000e+00
5,-4.58016778e-01,1.69156519e-01,1.00000000e+00
6,-2.81603551e-01,1.82603415e-01,1.00000000e+00
7,-9.50125098e-02,1.89450610e-01,1.00000000e+00
8,9.50125098e-02,1.89450610e-01,8.00963909e-01
9,2.81603551e-01,1.82603415e-01,5.48326519e-01
10,4.58016778e-01,1.69156519e-01,4.43807679e-01
11,6.17876244e-01,1.49595989e-01,3.81420854e-01
12,7.55404408e-01,1.24628971e-01,3.44957033e-01
13,8.65631202e-01,9.51585117e-02,3.19626350e-01
14,9.44575023e-01,6.22535239e-02,3.04693026e-01
15,9.89400935e-01,2.71524594e-02,2.96504251e-01
