cell,r_center_cm,direction,mu_m,w_m,psi_cell
0,1.00000000e-02,0,-9.89400935e-01,2.71524594e-02,2.17681896e-01
1,3.00000000e-02,0,-9.89400935e-01,2.71524594e-02,2.21982565e-01
2,5.00000000e-02,0,-9.89400935e-01,2.71524594e-02,2.26721416e-01
3,7.00000000e-02,0,-9.89400935e-01,2.71524594e-02,2.31759718e-01
4,9.00000000e-02,0,-9.89400935e-01,2.71524594e-02,2.37087656e-01
5,1.10000000e-01,0,-9.89400935e-01,2.71524594e-02,2.42709685e-01
6,1.30000000e-01,0,-9.89400935e-01,2.71524594e-02,2.48633555e-01
7,1.50000000e-01,0,-9.89400935e-01,2.71524594e-02,2.54868510e-01
8,1.70000000e-01,0,-9.89400935e-01,2.71524594e-02,2.61424497e-01
9,1.90000000e-01,0,-9.89400935e-01,2.71524594e-02,2.68312103e-01
10,2.10000000e-01,0,-9.89400935e-01,2.71524594e-02,2.75542373e-01
11,2.30000000e-01,0,-9.89400935e-01,2.71524594e-02,2.83126871e-01
12,2.50000000e-01,0,-9.89400935e-01,2.71524594e-02,2.91077601e-01
13,2.70000000e-01,0,-9.89400935e-01,2.71524594e-02,2.99407075e-01
14,2.90000000e-01,0,-9.89400935e-01,2.71524594e-02,3.08128268e-01
15,3.10000000e-01,0,-9.89400935e-01,2.71524594e-02,3.17254666e-01
16,3.30000000e-01,0,-9.89400935e-01,2.71524594e-02,3.26800248e-01
17,3.50000000e-01,0,-9.89400935e-01,2.71524594e-02,3.36779512e-01
18,3.70000000e-01,0,-9.89400935e-01,2.71524594e-02,3.47207469e-01
19,3.90000000e-01,0,-9.89400935e-01,2.71524594e-02,3.58099657e-01
20,4.10000000e-01,0,-9.89400935e-01,2.71524594e-02,3.69472136e-01
21,4.30000000e-01,0,-9.89400935e-01,2.71524594e-02,3.81341485e-01
22,4.50000000e-01,0,-9.89400935e-01,2.71524594e-02,3.93724799e-01
23,4.70000000e-01,0,-9.89400935e-01,2.71524594e-02,4.06639676e-01
24,4.90000000e-01,0,-9.89400935e-01,2.71524594e-02,4.20104195e-01
25,5.10000000e-01,0,-9.89400935e-01,2.71524594e-02,4.34136894e-01
26,5.30000000e-01,0,-9.89400935e-01,2.71524594e-02,4.48756737e-01
27,5.50000000e-01,0,-9.89400935e-01,2.71524594e-02,4.63983063e-01
28,5.70000000e-01,0,-9.89400935e-01,2.71524594e-02,4.79835537e-01
29,5.90000000e-01,0,-9.89400935e-01,2.71524594e-02,4.96334073e-01
30,6.10000000e-01,0,-9.89400935e-01,2.71524594e-02,5.13498752e-01
31,6.30000000e-01,0,-9.89400935e-01,2.71524594e-02,5.31349707e-01
32,6.50000000e-01,0,-9.89400935e-01,2.71524594e-02,5.49906999e-01
33,6.70000000e-01,0,-9.89400935e-01,2.71524594e-02,5.69190453e-01
34,6.90000000e-01,0,-9.89400935e-01,2.71524594e-02,5.89219461e-01
35,7.10000000e-01,0,-9.89400935e-01,2.71524594e-02,6.10012744e-01
36,7.30000000e-01,0,-9.89400935e-01,2.71524594e-02,6.31588054e-01
37,7.50000000e-01,0,-9.89400935e-01,2.71524594e-02,6.53961808e-01
