cell,r_center_cm,direction,mu_m,psi_ang_in
0,1.00000000e-02,0,-9.89400935e-01,2.17350914e-01
1,3.00000000e-02,0,-9.89400935e-01,2.21892723e-01
2,5.00000000e-02,0,-9.89400935e-01,2.26703828e-01
3,7.00000000e-02,0,-9.89400935e-01,2.31790035e-01
4,9.00000000e-02,0,-9.89400935e-01,2.37159132e-01
5,1.10000000e-01,0,-9.89400935e-01,2.42820373e-01
6,1.30000000e-01,0,-9.89400935e-01,2.48783343e-01
7,1.50000000e-01,0,-9.89400935e-01,2.55058138e-01
8,1.70000000e-01,0,-9.89400935e-01,2.61655155e-01
9,1.90000000e-01,0,-9.89400935e-01,2.68585243e-01
10,2.10000000e-01,0,-9.89400935e-01,2.75859598e-01
11,2.30000000e-01,0,-9.89400935e-01,2.83489880e-01
12,2.50000000e-01,0,-9.89400935e-01,2.91488146e-01
13,2.70000000e-01,0,-9.89400935e-01,2.99866928e-01
14,2.90000000e-01,0,-9.89400935e-01,3.08639196e-01
15,3.10000000e-01,0,-9.89400935e-01,3.17818408e-01
16,3.30000000e-01,0,-9.89400935e-01,3.27418493e-01
17,3.50000000e-01,0,-9.89400935e-01,3.37453874e-01
18,3.70000000e-01,0,-9.89400935e-01,3.47939462e-01
19,3.90000000e-01,0,-9.89400935e-01,3.58890665e-01
20,4.10000000e-01,0,-9.89400935e-01,3.70323384e-01
21,4.30000000e-01,0,-9.89400935e-01,3.82254006e-01
22,4.50000000e-01,0,-9.89400935e-01,3.94699397e-01
23,4.70000000e-01,0,-9.89400935e-01,4.07676880e-01
24,4.90000000e-01,0,-9.89400935e-01,4.21204220e-01
25,5.10000000e-01,0,-9.89400935e-01,4.35299588e-01
26,5.30000000e-01,0,-9.89400935e-01,4.49981521e-01
27,5.50000000e-01,0,-9.89400935e-01,4.65268876e-01
28,5.70000000e-01,0,-9.89400935e-01,4.81180765e-01
29,5.90000000e-01,0,-9.89400935e-01,4.97736477e-01
30,6.10000000e-01,0,-9.89400935e-01,5.14955384e-01
31,6.30000000e-01,0,-9.89400935e-01,5.32856828e-01
32,6.50000000e-01,0,-9.89400935e-01,5.51459978e-01
33,6.70000000e-01,0,-9.89400935e-01,5.70783666e-01
