cell,r_center_cm,phi_0
0,1.00000000e-02,4.31624056e-01
1,3.00000000e-02,4.31925955e-01
2,5.00000000e-02,4.32753234e-01
3,7.00000000e-02,4.34107606e-01
4,9.00000000e-02,4.35830149e-01
5,1.10000000e-01,4.37984323e-01
6,1.30000000e-01,4.40529862e-01
7,1.50000000e-01,4.43515080e-01
8,1.70000000e-01,4.46923005e-01
9,1.90000000e-01,4.50789467e-01
10,2.10000000e-01,4.55109495e-01
11,2.30000000e-01,4.59910722e-01
12,2.50000000e-01,4.65196795e-01
13,2.70000000e-01,4.70990265e-01
14,2.90000000e-01,4.77301323e-01
15,3.10000000e-01,4.84150199e-01
16,3.30000000e-01,4.91552007e-01
17,3.50000000e-01,4.99526998e-01
18,3.70000000e-01,5.08094247e-01
19,3.90000000e-01,5.17275798e-01
20,4.10000000e-01,5.27094479e-01
21,4.30000000e-01,5.37575458e-01
22,4.50000000e-01,5.48745725e-01
23,4.70000000e-01,5.60634748e-01
24,4.90000000e-01,5.73274551e-01
25,5.10000000e-01,5.86700149e-01
26,5.30000000e-01,6.00949868e-01
27,5.50000000e-01,6.16065792e-01
28,5.70000000e-01,6.32094235e-01
29,5.90000000e-01,6.49086303e-01
30,6.10000000e-01,6.67098544e-01
31,6.30000000e-01,6.86193711e-01
32,6.50000000e-01,7.06441668e-01
33,6.70000000e-01,7.27920496e-01
34,6.90000000e-01,7.50717852e-01
35,7.10000000e-01,7.74932685e-01
36,7.30000000e-01,8.00677437e-01
37,7.50000000e-01,8.28080945e-01
38,7.70000000e-01,8.57292327e-01
39,7.90000000e-01,8.88486336e-01
40,8.10000000e-01,9.21870852e-01
41,8.30000000e-01,9.57697785e-01
42,8.50000000e-01,9.96279055e-01
43,8.70000000e-01,1.03801296e+00
44,8.90000000e-01,1.08342179e+00
45,9.10000000e-01,1.13325038e+00
46,9.30000000e-01,1.18850153e+00
47,9.50000000e-01,1.25135126e+00
48,9.70000000e-01,1.32253959e+00
49,9.90000000e-01,1.42221275e+00
