vertex,r_edge_cm,phi_0
0,0.00000000e+00,4.31473107e-01
1,2.00000000e-02,4.31775006e-01
2,4.00000000e-02,4.32339595e-01
3,6.00000000e-02,4.33430420e-01
4,8.00000000e-02,4.34968877e-01
5,1.00000000e-01,4.36907236e-01
6,1.20000000e-01,4.39257092e-01
7,1.40000000e-01,4.42022471e-01
8,1.60000000e-01,4.45219042e-01
9,1.80000000e-01,4.48856236e-01
10,2.00000000e-01,4.52949481e-01
11,2.20000000e-01,4.57510108e-01
12,2.40000000e-01,4.62553759e-01
13,2.60000000e-01,4.68093530e-01
14,2.80000000e-01,4.74145794e-01
15,3.00000000e-01,4.80725761e-01
16,3.20000000e-01,4.87851103e-01
17,3.40000000e-01,4.95539502e-01
18,3.60000000e-01,5.03810622e-01
19,3.80000000e-01,5.12685023e-01
20,4.00000000e-01,5.22185139e-01
21,4.20000000e-01,5.32334968e-01
22,4.40000000e-01,5.43160592e-01
23,4.60000000e-01,5.54690237e-01
24,4.80000000e-01,5.66954649e-01
25,5.00000000e-01,5.79987350e-01
26,5.20000000e-01,5.93825009e-01
27,5.40000000e-01,6.08507830e-01
28,5.60000000e-01,6.24080013e-01
29,5.80000000e-01,6.40590269e-01
30,6.00000000e-01,6.58092424e-01
31,6.20000000e-01,6.76646128e-01
32,6.40000000e-01,6.96317690e-01
33,6.60000000e-01,7.17181082e-01
34,6.80000000e-01,7.39319174e-01
35,7.00000000e-01,7.62825269e-01
36,7.20000000e-01,7.87805061e-01
37,7.40000000e-01,8.14379191e-01
38,7.60000000e-01,8.42686636e-01
39,7.80000000e-01,8.72889332e-01
40,8.00000000e-01,9.05178594e-01
41,8.20000000e-01,9.39784319e-01
42,8.40000000e-01,9.76988420e-01
43,8.60000000e-01,1.01714601e+00
44,8.80000000e-01,1.06071738e+00
45,9.00000000e-01,1.10833609e+00
46,9.20000000e-01,1.16087595e+00
47,9.40000000e-01,1.21992640e+00
48,9.60000000e-01,1.28694543e+00
49,9.80000000e-01,1.37237617e+00
50,1.00000000e+00,1.47204932e+00
