cell,r_center_cm,phi_0
0,1.00000000e-02,8.04562838e-01
1,3.00000000e-02,8.05160144e-01
2,5.00000000e-02,8.06791655e-01
3,7.00000000e-02,8.09460936e-01
4,9.00000000e-02,8.12856907e-01
5,1.10000000e-01,8.17104094e-01
6,1.30000000e-01,8.22124012e-01
7,1.50000000e-01,8.28011808e-01
8,1.70000000e-01,8.34734896e-01
9,1.90000000e-01,8.42364266e-01
10,2.10000000e-01,8.50891112e-01
11,2.30000000e-01,8.60370665e-01
12,2.50000000e-01,8.70811287e-01
13,2.70000000e-01,8.82258557e-01
14,2.90000000e-01,8.94733970e-01
15,3.10000000e-01,9.08278881e-01
16,3.30000000e-01,9.22924779e-01
17,3.50000000e-01,9.38713420e-01
18,3.70000000e-01,9.55684446e-01
19,3.90000000e-01,9.73883542e-01
20,4.10000000e-01,9.93358151e-01
21,4.30000000e-01,1.01416058e+00
22,4.50000000e-01,1.03634695e+00
23,4.70000000e-01,1.05997860e+00
24,4.90000000e-01,1.08512217e+00
25,5.10000000e-01,1.11185057e+00
26,5.30000000e-01,1.14024363e+00
27,5.50000000e-01,1.17038902e+00
28,5.70000000e-01,1.20238324e+00
29,5.90000000e-01,1.23633282e+00
30,6.10000000e-01,1.27235564e+00
31,6.30000000e-01,1.31058256e+00
32,6.50000000e-01,1.35115932e+00
33,6.70000000e-01,1.39424883e+00
34,6.90000000e-01,1.44003406e+00
35,7.10000000e-01,1.48872157e+00
36,7.30000000e-01,1.54054619e+00
37,7.50000000e-01,1.59577702e+00
38,7.70000000e-01,1.65472554e+00
39,7.90000000e-01,1.71775682e+00
40,8.10000000e-01,1.78530504e+00
41,8.30000000e-01,1.85789626e+00
42,8.50000000e-01,1.93618158e+00
43,8.70000000e-01,2.02099209e+00
44,8.90000000e-01,2.11341659e+00
45,9.10000000e-01,2.21500809e+00
46,9.30000000e-01,2.32785054e+00
47,9.50000000e-01,2.45648907e+00
48,9.70000000e-01,2.60243656e+00
49,9.90000000e-01,2.80755092e+00
