cell,r_center_cm,psi_start
0,0.00000000e+00,4.00979359e-01
1,1.00000000e-02,4.05295728e-01
2,3.00000000e-02,4.14193887e-01
3,5.00000000e-02,4.23628917e-01
4,7.00000000e-02,4.33613209e-01
5,9.00000000e-02,4.44163110e-01
6,1.10000000e-01,4.55297919e-01
7,1.30000000e-01,4.67037676e-01
8,1.50000000e-01,4.79403510e-01
9,1.70000000e-01,4.92417235e-01
10,1.90000000e-01,5.06101644e-01
11,2.10000000e-01,5.20480321e-01
12,2.30000000e-01,5.35577858e-01
13,2.50000000e-01,5.51419736e-01
14,2.70000000e-01,5.68032487e-01
15,2.90000000e-01,5.85443618e-01
16,3.10000000e-01,6.03681722e-01
17,3.30000000e-01,6.22776439e-01
18,3.50000000e-01,6.42758520e-01
19,3.70000000e-01,6.63659811e-01
20,3.90000000e-01,6.85513286e-01
21,4.10000000e-01,7.08353032e-01
22,4.30000000e-01,7.32214254e-01
23,4.50000000e-01,7.57133258e-01
24,4.70000000e-01,7.83147422e-01
25,4.90000000e-01,8.10295160e-01
26,5.10000000e-01,8.38615868e-01
27,5.30000000e-01,8.68149846e-01
28,5.50000000e-01,8.98938206e-01
29,5.70000000e-01,9.31022750e-01
30,5.90000000e-01,9.64445821e-01
31,6.10000000e-01,9.99250112e-01
32,6.30000000e-01,1.03547844e+00
33,6.50000000e-01,1.07317347e+00
34,6.70000000e-01,1.11237737e+00
35,6.90000000e-01,1.15313139e+00
36,7.10000000e-01,1.19547535e+00
37,7.30000000e-01,1.23944704e+00
38,7.50000000e-01,1.28508141e+00
39,7.70000000e-01,1.33240963e+00
40,7.90000000e-01,1.38145784e+00
41,8.10000000e-01,1.43224555e+00
42,8.30000000e-01,1.48478360e+00
43,8.50000000e-01,1.53907136e+00
44,8.70000000e-01,1.59509281e+00
45,8.90000000e-01,1.65281112e+00
46,9.10000000e-01,1.71215988e+00
47,9.30000000e-01,1.77303093e+00
48,9.50000000e-01,1.83524095e+00
49,9.70000000e-01,1.89853258e+00
50,9.90000000e-01,1.96218499e+00
