vertex,r_edge_cm,phi_0
0,0.00000000e+00,8.04264184e-01
1,2.00000000e-02,8.04861491e-01
2,4.00000000e-02,8.05975900e-01
3,6.00000000e-02,8.08126295e-01
4,8.00000000e-02,8.11158921e-01
5,1.00000000e-01,8.14980500e-01
6,1.20000000e-01,8.19614053e-01
7,1.40000000e-01,8.25067910e-01
8,1.60000000e-01,8.31373352e-01
9,1.80000000e-01,8.38549581e-01
10,2.00000000e-01,8.46627689e-01
11,2.20000000e-01,8.55630889e-01
12,2.40000000e-01,8.65590976e-01
13,2.60000000e-01,8.76534922e-01
14,2.80000000e-01,8.88496263e-01
15,3.00000000e-01,9.01506425e-01
16,3.20000000e-01,9.15601830e-01
17,3.40000000e-01,9.30819099e-01
18,3.60000000e-01,9.47198933e-01
19,3.80000000e-01,9.64783994e-01
20,4.00000000e-01,9.83620846e-01
21,4.20000000e-01,1.00375936e+00
22,4.40000000e-01,1.02525376e+00
23,4.60000000e-01,1.04816278e+00
24,4.80000000e-01,1.07255038e+00
25,5.00000000e-01,1.09848637e+00
26,5.20000000e-01,1.12604710e+00
27,5.40000000e-01,1.15531632e+00
28,5.60000000e-01,1.18638613e+00
29,5.80000000e-01,1.21935803e+00
30,6.00000000e-01,1.25434423e+00
31,6.20000000e-01,1.29146910e+00
32,6.40000000e-01,1.33087094e+00
33,6.60000000e-01,1.37270408e+00
34,6.80000000e-01,1.41714144e+00
35,7.00000000e-01,1.46437781e+00
36,7.20000000e-01,1.51463388e+00
37,7.40000000e-01,1.56816160e+00
38,7.60000000e-01,1.62525128e+00
39,7.80000000e-01,1.68624118e+00
40,8.00000000e-01,1.75153093e+00
41,8.20000000e-01,1.82160065e+00
42,8.40000000e-01,1.89703892e+00
43,8.60000000e-01,1.97858684e+00
44,8.80000000e-01,2.06720434e+00
45,9.00000000e-01,2.16421234e+00
46,9.20000000e-01,2.27142932e+00
47,9.40000000e-01,2.39216981e+00
48,9.60000000e-01,2.52946282e+00
49,9.80000000e-01,2.70499374e+00
50,1.00000000e+00,2.91010811e+00
